region_code_key|city_state_key|gym_code_key|original_gym_name|gym_name|latitude|longitude|gym_location_city|gym_location_state|word_1|word_2|word_3|gmap_url|gym_image|json
SCV|SANTACLARITACA|PACRPA|"Pacific Crest Park"|"Pacific Crest Park"|34.474236|-118.52292|"SANTA CLARITA"|CA|PA|CR|PA|https://www.google.com/maps/place/34.474236,-118.52292|https://lh4.ggpht.com/0KGxnJ-z1LRl6mzIT3uZ6QsJdmY-_-vv1MlsveEEG24bckMW3iRCEZjdDIZVjdgyaMAU2bm6M6DfsNmvCHGr0g|"{ ""region_code_key"":""SCV"", ""city_state_key"":""SANTACLARITACA"", ""gym_code_key"":""PACRPA"", ""original_gym_name"":""Pacific Crest Park"", ""gym_name"":""Pacific Crest Park"", ""latitude"":""34.474236"", ""longitude"":""-118.52292"", ""gym_location_city"":""SANTA CLARITA"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.474236,-118.52292"", ""gym_image"":""https://lh4.ggpht.com/0KGxnJ-z1LRl6mzIT3uZ6QsJdmY-_-vv1MlsveEEG24bckMW3iRCEZjdDIZVjdgyaMAU2bm6M6DfsNmvCHGr0g""}"
SCV|SANTACLARITACA|QUCAOP|"Quigley Canyon Open Space Entrance"|"Quigley Canyon Open Space Entrance"|34.387253|-118.512618|"SANTA CLARITA"|CA|QU|CA|OP|https://www.google.com/maps/place/34.387253,-118.512618|https://lh6.ggpht.com/wE0Zy9oAGOcoDI1B52Xcc0RJh4TWGIueeF8j_A9fzTkyPaSvsAcTaDVOL8qWfaWANKu0kqAVcY2MrM0P-pdH|"{ ""region_code_key"":""SCV"", ""city_state_key"":""SANTACLARITACA"", ""gym_code_key"":""QUCAOP"", ""original_gym_name"":""Quigley Canyon Open Space Entrance"", ""gym_name"":""Quigley Canyon Open Space Entrance"", ""latitude"":""34.387253"", ""longitude"":""-118.512618"", ""gym_location_city"":""SANTA CLARITA"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.387253,-118.512618"", ""gym_image"":""https://lh6.ggpht.com/wE0Zy9oAGOcoDI1B52Xcc0RJh4TWGIueeF8j_A9fzTkyPaSvsAcTaDVOL8qWfaWANKu0kqAVcY2MrM0P-pdH""}"
SCV|SANTACLARITACA|TMFO|"TMC Fountain"|"TMC Fountain"|34.381986|-118.518242|"SANTA CLARITA"|CA|TM|FO|""|https://www.google.com/maps/place/34.381986,-118.518242|https://lh4.ggpht.com/XnWPrfZtfrUq0bNs-N22rCtblG5S3k513ToW1io948heAXC2H_dab93_UTZIiU5FUQUYkmf-2_lPlkrPwdNM4w|"{ ""region_code_key"":""SCV"", ""city_state_key"":""SANTACLARITACA"", ""gym_code_key"":""TMFO"", ""original_gym_name"":""TMC Fountain"", ""gym_name"":""TMC Fountain"", ""latitude"":""34.381986"", ""longitude"":""-118.518242"", ""gym_location_city"":""SANTA CLARITA"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.381986,-118.518242"", ""gym_image"":""https://lh4.ggpht.com/XnWPrfZtfrUq0bNs-N22rCtblG5S3k513ToW1io948heAXC2H_dab93_UTZIiU5FUQUYkmf-2_lPlkrPwdNM4w""}"
SCV|SANTACLARITACA|MERA|"Melody Ranch"|"Melody Ranch"|34.383307|-118.510257|"SANTA CLARITA"|CA|ME|RA|""|https://www.google.com/maps/place/34.383307,-118.510257|https://lh5.ggpht.com/zD5XQqiTtv3PeXaOR8c3JFAXeCa04uHh9JpFMnQhva7NRWMDfw7PiDI6RIaqVAZYEnhGezHiJy9ciE0JmT0T|"{ ""region_code_key"":""SCV"", ""city_state_key"":""SANTACLARITACA"", ""gym_code_key"":""MERA"", ""original_gym_name"":""Melody Ranch"", ""gym_name"":""Melody Ranch"", ""latitude"":""34.383307"", ""longitude"":""-118.510257"", ""gym_location_city"":""SANTA CLARITA"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.383307,-118.510257"", ""gym_image"":""https://lh5.ggpht.com/zD5XQqiTtv3PeXaOR8c3JFAXeCa04uHh9JpFMnQhva7NRWMDfw7PiDI6RIaqVAZYEnhGezHiJy9ciE0JmT0T""}"
SCV|SANTACLARITACA|KEACFO|"Kenneally Acupuncture Fountain"|"Kenneally Acupuncture Fountain"|34.416256|-118.476582|"SANTA CLARITA"|CA|KE|AC|FO|https://www.google.com/maps/place/34.416256,-118.476582|https://lh4.ggpht.com/e5MIsck50zzhefsJgHhnzhaWMwvuZbX87o-a50K8zPNTAkmCbmMJi4vZOUj6um6SuMS2xEGliJnbgPidyAWRuQ|"{ ""region_code_key"":""SCV"", ""city_state_key"":""SANTACLARITACA"", ""gym_code_key"":""KEACFO"", ""original_gym_name"":""Kenneally Acupuncture Fountain"", ""gym_name"":""Kenneally Acupuncture Fountain"", ""latitude"":""34.416256"", ""longitude"":""-118.476582"", ""gym_location_city"":""SANTA CLARITA"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.416256,-118.476582"", ""gym_image"":""https://lh4.ggpht.com/e5MIsck50zzhefsJgHhnzhaWMwvuZbX87o-a50K8zPNTAkmCbmMJi4vZOUj6um6SuMS2xEGliJnbgPidyAWRuQ""}"
SCV|SANTACLARITACA|FIPRCH|"First Presbyterian Church"|"First Presbyterian Church"|34.377979|-118.530115|"SANTA CLARITA"|CA|FI|PR|CH|https://www.google.com/maps/place/34.377979,-118.530115|https://lh4.ggpht.com/N3FwaiGijCHtT8QfU2Iia972B-xtMf7KaSP6ziuBcboQGYL0rFwsWr8dGD_KBmS12z7nGjsxuEqZNJ6sLF38pQ|"{ ""region_code_key"":""SCV"", ""city_state_key"":""SANTACLARITACA"", ""gym_code_key"":""FIPRCH"", ""original_gym_name"":""First Presbyterian Church"", ""gym_name"":""First Presbyterian Church"", ""latitude"":""34.377979"", ""longitude"":""-118.530115"", ""gym_location_city"":""SANTA CLARITA"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.377979,-118.530115"", ""gym_image"":""https://lh4.ggpht.com/N3FwaiGijCHtT8QfU2Iia972B-xtMf7KaSP6ziuBcboQGYL0rFwsWr8dGD_KBmS12z7nGjsxuEqZNJ6sLF38pQ""}"
SCV|SANTACLARITACA|WIJJO|"William J Johnston Jr"|"William J Johnston Jr"|34.377632|-118.528627|"SANTA CLARITA"|CA|WI|J|JO|https://www.google.com/maps/place/34.377632,-118.528627|https://lh6.ggpht.com/COlXFh1KR6o31SkznUdnXdHySddlmBwsEynJKdpA32kFNQaziosQ9bNRw5YpPBKrky9Bda1fyJ80LuyvdOPI_g|"{ ""region_code_key"":""SCV"", ""city_state_key"":""SANTACLARITACA"", ""gym_code_key"":""WIJJO"", ""original_gym_name"":""William J Johnston Jr"", ""gym_name"":""William J Johnston Jr"", ""latitude"":""34.377632"", ""longitude"":""-118.528627"", ""gym_location_city"":""SANTA CLARITA"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.377632,-118.528627"", ""gym_image"":""https://lh6.ggpht.com/COlXFh1KR6o31SkznUdnXdHySddlmBwsEynJKdpA32kFNQaziosQ9bNRw5YpPBKrky9Bda1fyJ80LuyvdOPI_g""}"
SCV|SANTACLARITACA|VIMA|"Virginia Mayo"|"Virginia Mayo"|34.381116|-118.529875|"SANTA CLARITA"|CA|VI|MA|""|https://www.google.com/maps/place/34.381116,-118.529875|https://lh5.ggpht.com/NO4txTqqQO2vAtvI4XNTAF0pUHC3UNAmY-hIomfeVpH2jUuwXC7eUrPzZkOL4-p6Zg9Il1f0dtQNEM216vvT|"{ ""region_code_key"":""SCV"", ""city_state_key"":""SANTACLARITACA"", ""gym_code_key"":""VIMA"", ""original_gym_name"":""Virginia Mayo"", ""gym_name"":""Virginia Mayo"", ""latitude"":""34.381116"", ""longitude"":""-118.529875"", ""gym_location_city"":""SANTA CLARITA"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.381116,-118.529875"", ""gym_image"":""https://lh5.ggpht.com/NO4txTqqQO2vAtvI4XNTAF0pUHC3UNAmY-hIomfeVpH2jUuwXC7eUrPzZkOL4-p6Zg9Il1f0dtQNEM216vvT""}"
SCV|SANTACLARITACA|OLNELI|"Old Town Newhall Library"|"OldTown Newhall Library"|34.381541|-118.530081|"SANTA CLARITA"|CA|OL|NE|LI|https://www.google.com/maps/place/34.381541,-118.530081|https://lh3.ggpht.com/9Bb2raCeFiM0LeTS-g_wrKG2Xa3_y2txg9M92V-Xy5rIxJdyCoQVE2ViGhpZ8d6oWks7xLodsh5VxyPY6n518w|"{ ""region_code_key"":""SCV"", ""city_state_key"":""SANTACLARITACA"", ""gym_code_key"":""OLNELI"", ""original_gym_name"":""Old Town Newhall Library"", ""gym_name"":""OldTown Newhall Library"", ""latitude"":""34.381541"", ""longitude"":""-118.530081"", ""gym_location_city"":""SANTA CLARITA"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.381541,-118.530081"", ""gym_image"":""https://lh3.ggpht.com/9Bb2raCeFiM0LeTS-g_wrKG2Xa3_y2txg9M92V-Xy5rIxJdyCoQVE2ViGhpZ8d6oWks7xLodsh5VxyPY6n518w""}"
SCV|SANTACLARITACA|SPSTSA|"Get $100 In PokeCoins Free"|"Sprint Store SantaClarita"|34.4207|-118.56414|"SANTA CLARITA"|CA|SP|ST|SA|https://www.google.com/maps/place/34.4207,-118.56414|https://lh3.googleusercontent.com/DgLJEoc4vJckKJoXnpDns-pzDCW31ZMzYIL8VBdOGCBsSu8KVrLJK5N6foRiO6JGmMDflkBHk4uhAzKZXQQAWQ|"{ ""region_code_key"":""SCV"", ""city_state_key"":""SANTACLARITACA"", ""gym_code_key"":""SPSTSA"", ""original_gym_name"":""Get $100 In PokeCoins Free"", ""gym_name"":""Sprint Store SantaClarita"", ""latitude"":""34.4207"", ""longitude"":""-118.56414"", ""gym_location_city"":""SANTA CLARITA"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.4207,-118.56414"", ""gym_image"":""https://lh3.googleusercontent.com/DgLJEoc4vJckKJoXnpDns-pzDCW31ZMzYIL8VBdOGCBsSu8KVrLJK5N6foRiO6JGmMDflkBHk4uhAzKZXQQAWQ""}"
