region_code_key|city_state_key|gym_code_key|original_gym_name|gym_name|latitude|longitude|gym_location_city|gym_location_state|word_1|word_2|word_3|gmap_url|gym_image|json
BAG|GLENDALECA|LAZO|LA Zoo|LA Zoo|34.148358|-118.284013|GLENDALE|CA|LA|ZO||https://www.google.com/maps/place/34.148358,-118.284013|https://lh5.ggpht.com/QJtY21O-flWgEfA0GB7RbqFVLsAl9tFSucHBCooPLTB4NyvnC3IT7WL5fIMDKmd92OB_PI7HoQfiPdqqaP5E2A|*
BAG|GLENDALECA|GRPA&|Griffith Park & Southern RR|Griffith Park & Southern RR|34.119165|-118.272202|GLENDALE|CA|GR|PA|&|https://www.google.com/maps/place/34.119165,-118.272202|https://lh3.googleusercontent.com/tx2gWdsWP7ykVBCwv-9sWTS7DtrZgOQjllixoI1inBUrsCZzsjoEaq3Aa01fTqnZO7ukg2QK-_uo4mi8X4XY|*
BAG|GLENDALECA|STOFGR|Statue of Griffith|Statue of Griffith|34.117717|-118.271942|GLENDALE|CA|ST|OF|GR|https://www.google.com/maps/place/34.117717,-118.271942|https://lh6.ggpht.com/JwanZq6bai01DWV0c6-jr1VW-idO55Xm4RzKpsWQtfgtbI4sPr99ATouFkm88r9JVDLGMWxHDBeiI2EAGcg|*
BAG|GLENDALECA|LACACO|La Cañada Congregational Church|La Cañada Congregational Church|34.206351|-118.205375|GLENDALE|CA|LA|CA|CO|https://www.google.com/maps/place/34.206351,-118.205375|https://lh3.ggpht.com/yYzdfV11DP73_Qe_hkO3CqOJkcgavYhg1yQQn3s_D3-gqMAorjZ-TuykmOh5p5qEwf8mhSUw8mWsVGp3v5-D|*
BAG|GLENDALECA|MYDHBU|Mystic Dharma Buddhist Temple|Mystic Dharma Buddhist Temple|34.106267|-118.199139|GLENDALE|CA|MY|DH|BU|https://www.google.com/maps/place/34.106267,-118.199139|https://lh3.ggpht.com/rDPQFJIsQY1Nci7rCplfT4WGCXwgl8iPLOAPPgPkeaOIvxSds23-I-m1WyFwrOcRGTBFNflz9xRXSDboj1VU6w|*
BAG|GLENDALECA|BIGU|Bison Guitarist|Bison Guitarist|34.102888|-118.237265|GLENDALE|CA|BI|GU||https://www.google.com/maps/place/34.102888,-118.237265|https://lh4.ggpht.com/YlH27QioRVApxaiZ3D5UMZFETDAGEiW8tcidU-OjiSRgK9VCTaYgGP188nSrkuX5c6QQDtnscG2E9V-tRur4|*
BAG|GLENDALECA|MIMU|Mission Mural|Mission Mural|34.110528|-118.251402|GLENDALE|CA|MI|MU||https://www.google.com/maps/place/34.110528,-118.251402|https://lh3.ggpht.com/lu8JDnN6AgffUzgzOCju_JHGdIL4OBbvbdfl8o4nu8pIaVe2b48C-KCrL-G7PgR5n2zr57RqCc9-SZ3cHGc|*
BAG|GLENDALECA|SQGR|Squirrel Graffiti|Squirrel Graffiti|34.205168|-118.22794|GLENDALE|CA|SQ|GR||https://www.google.com/maps/place/34.205168,-118.22794|https://lh6.ggpht.com/oVPv9-Agwd9eQH4H_7mnHD97xV0nWo9uTITk3SX9AvtfAtoGWdshI4KZFITcrM9ZMNQwWPK1Sbgr9m7ySSc|*
BAG|GLENDALECA|MIRO|Midnight Rollers|Midnight Rollers|34.144699|-118.270566|GLENDALE|CA|MI|RO||https://www.google.com/maps/place/34.144699,-118.270566|https://lh3.googleusercontent.com/AFHqdtRn7NYHPspQMUJYTVyxTgsuQ8Q7cjxkH_wOBqen1qpy-uF-8NmtiPf1wwkuJb-_Kf46NRxlOhgnGSGO3A|*
BAG|BURBANKCA|PAAIBY|Paper Airplane by Bumblebee|Paper Airplane by Bumblebee|34.197042|-118.347758|BURBANK|CA|PA|AI|BY|https://www.google.com/maps/place/34.197042,-118.347758|https://lh6.ggpht.com/bRJdTr4CiivcU09FTClv7MbEL2F0tO4OznojBJDm3MSz6KLttOLTn7vz3AmveA8Uj-Nhzw5RqjchENWhbOqS|*
